sale_id,product_id,date,quantity_sold,revenue
1,155,2025-07-29,1,270.56
2,24,2025-05-26,1,282.89
3,173,2025-05-29,5,779.6
4,148,2025-08-29,2,100.76
5,6,2025-09-29,23,6264.05
6,173,2025-07-05,5,779.6
7,148,2025-06-23,1,50.38
8,194,2025-06-17,1,325.2
9,133,2025-10-31,3,118.23
10,72,2025-06-20,1,451.04
11,150,2025-08-19,1,76.52
12,126,2025-09-26,10,1371.0
13,121,2025-09-11,1,173.69
14,86,2025-08-10,1,9.58
15,27,2025-10-04,5,383.1
16,85,2025-08-31,1,293.4
17,127,2025-07-02,1,88.68
18,103,2025-05-23,5,975.6
19,141,2025-05-31,1,190.67
20,23,2025-08-07,1,90.41
21,83,2025-07-06,1,142.96
22,198,2025-07-20,1,62.2
23,132,2025-07-30,5,728.9
24,1,2025-08-04,3,175.47
25,139,2025-06-02,1,69.19
26,14,2025-08-25,1,122.12
27,93,2025-05-30,2,192.66
28,128,2025-08-30,2,315.84
29,195,2025-11-16,1,42.98
30,69,2025-07-12,2,458.02
31,74,2025-11-16,2,418.94
32,179,2025-11-14,2,781.16
33,8,2025-07-19,10,3265.7
34,156,2025-10-10,4,589.4
35,182,2025-08-23,1,353.13
36,142,2025-06-27,1,25.99
37,105,2025-07-06,1,56.93
38,30,2025-09-08,1,390.75
39,31,2025-07-16,3,278.13
40,40,2025-09-02,2,437.62
41,184,2025-09-13,1,67.34
42,181,2025-05-23,1,138.27
43,124,2025-07-11,11,633.38
44,63,2025-05-29,1,203.87
45,38,2025-08-27,1,336.69
46,154,2025-09-14,2,468.48
47,35,2025-10-21,5,1230.9
48,71,2025-11-14,6,379.92
49,107,2025-10-08,1,217.28
50,130,2025-07-05,1,250.2
51,1,2025-06-22,1,58.49
52,77,2025-10-18,5,2232.8
53,149,2025-07-20,20,7053.4
54,126,2025-10-11,6,822.6
55,115,2025-08-20,2,106.78
56,89,2025-11-12,1,73.51
57,196,2025-06-26,2,460.58
58,117,2025-07-28,8,1917.28
59,49,2025-08-17,11,3943.5
60,62,2025-08-23,2,131.24
61,60,2025-08-02,5,2081.5
